,strategy_id,strategy_name,assigned_color,deterministic,Niceness,Retaliation,Forgiveness,OverallCoop,AvgPayoff
26,27,DBS,#f8fc00,1,1.0,0.2089992803735078,0.209350081496013,0.7400498120300751,2.8850601503759403
27,28,Darwin,#f0ff00,1,1.0,0.1469440275709843,0.0865633242273976,0.4813834586466165,2.065050751879699
28,29,Defector,#e6ff00,1,0.0,,0.0,0.0,1.793308270676692
29,30,DefectorHunter,#dcff00,1,1.0,0.0192926014380222,1.0,0.9867631578947368,2.364248120300752
30,31,DelayedAON1,#d2ff00,1,1.0,0.9246275504955946,0.0,0.7883167293233083,2.59968045112782
31,32,Detective,#c8ff00,1,1.0,0.6399550417407799,0.8783783783783784,0.4533834586466165,2.230992481203008
32,33,DoubleCrosser,#beff00,1,1.0,0.1890777796283518,0.0263157894736842,0.6947951127819549,2.858052631578948
33,34,DoubleResurrection,#b4ff00,1,1.0,1.0,1.0,0.504,2.210657894736842
34,35,Doubler,#aaff00,1,1.0,0.780608040807984,1.0,0.8356033834586466,2.687377819548872
35,36,EasyGo,#a0ff00,1,0.0,0.0,,0.9157387218045114,2.1752302631578946
36,37,EugineNier,#96ff00,1,1.0,1.0,0.5925020481541088,0.7039295112781953,2.842820488721804
37,38,EventualCycleHunter,#8cff00,1,1.0,0.0252680929995951,0.0182291666666666,0.8711560150375941,2.574466165413534
38,39,EvolvedANN,#82ff00,1,1.0,0.6218318905007545,0.4806335421462597,0.7299736842105262,2.9615169172932325
39,40,EvolvedANN5,#79ff00,1,1.0,0.5092322116223216,0.0,0.7278045112781955,2.9540187969924814
40,41,EvolvedANNNoise05,#6fff00,1,1.0,0.2009588537446259,0.5324856425080876,0.3906522556390977,2.6084088345864664
41,42,EvolvedFSM16,#65ff00,1,1.0,0.6329163629369868,0.3958417118747842,0.7537565789473684,2.953646616541353
42,43,EvolvedFSM16Noise05,#5bff00,1,1.0,0.6549188452714861,0.6492578070113549,0.7586531954887219,2.946718045112782
43,44,EvolvedFSM4,#51ff00,1,1.0,0.7220032067066153,0.0,0.79434492481203,2.8786682330827067
44,45,EvolvedFSM6,#47ff00,1,1.0,0.7754424043834576,0.6788764294913255,0.8279483082706767,2.967764097744361
45,46,EvolvedLookerUp1_1_1,#3dff00,1,1.0,1.0,0.543859649122807,0.6721513157894737,2.849262218045113
46,47,EvolvedLookerUp2_2_2,#33ff00,1,1.0,0.5622081844987286,0.4054865676487297,0.7528402255639097,2.938820488721805
47,48,FirstByDavis,#29ff00,1,1.0,0.1633150183150183,0.0,0.6029013157894736,2.751826127819549
48,49,FirstByDowning,#1fff00,1,0.0,0.6004543784961723,0.2297191339360013,0.2218496240601503,2.1726597744360903
49,50,FirstByNydegger,#15ff00,1,1.0,0.301593643257422,0.3705143153258194,0.9425422932330826,2.505679511278195
50,51,FirstByShubik,#0bff00,1,1.0,1.0,0.3627611377858016,0.7744924812030075,2.835171052631579
51,52,FirstBySteinAndRapoport,#05ff04,1,1.0,0.5741008614973869,0.8547771500571748,0.8284511278195489,2.751743421052632
52,53,FirstByTidemanAndChieruzzi,#02ff0b,1,1.0,0.9650357316306007,0.4353563056605746,0.7458383458646617,2.661186090225564
53,54,FoolMeOnce,#00ff12,1,1.0,0.3758241758241759,0.0,0.6802528195488723,2.8828956766917293
54,55,ForgetfulGrudger,#00ff1c,1,1.0,1.0,0.0273452234154877,0.6804238721804511,2.645508458646616
55,56,Forgiver,#00ff26,1,1.0,0.882458762906524,0.0045732484576072,0.6570507518796993,2.6513317669172936
56,57,ForgivingTitForTat,#00ff30,1,1.0,0.9179891977940758,1.0,0.8313045112781954,2.718332706766917
57,58,Fortress3,#00ff3a,1,0.0,1.0,0.0,0.3002058270676692,1.9834426691729323
58,59,Fortress4,#00ff44,1,0.0,1.0,0.0,0.2072255639097744,1.982737781954888
59,60,GeneralSoftGrudger,#00ff4e,1,1.0,0.7343189108010887,0.0757152799975574,0.8445347744360903,2.712562969924812
60,61,GoByMajority,#00ff58,1,1.0,0.5468253178956356,0.6272123916093835,0.8231174812030075,2.6010375939849624
61,62,GoByMajority10,#00ff62,1,1.0,0.4968778538513612,0.6084096109839817,0.8611851503759397,2.6490939849624056
62,63,GoByMajority20,#00ff6c,1,1.0,0.5066082656598005,0.6082555187453436,0.8525253759398496,2.637188909774436
63,64,GoByMajority40,#00ff76,1,1.0,0.5121688985065059,0.5885104919160647,0.8470009398496241,2.6250347744360902
64,65,GoByMajority5,#00ff80,1,1.0,0.5852040591685412,0.5465186417285125,0.8195187969924812,2.6507415413533835
65,66,Golden,#00ff8a,1,1.0,0.0,,0.7216795112781955,1.7649501879699248
66,67,Gradual,#00ff94,1,1.0,0.7615222691979062,0.384531431118398,0.7996033834586466,2.899788533834587
67,68,GradualKiller,#00ff9e,1,0.0,0.2586466165413533,0.0971522463387203,0.54703007518797,1.7913646616541352
68,69,Grudger,#00ffa8,1,1.0,1.0,0.0,0.600734022556391,2.77881015037594
69,70,GrudgerAlternator,#00ffb2,1,1.0,1.0,1.0,0.79975,2.6612810150375936
70,71,Grumpy,#00ffbc,1,1.0,0.0276080693881551,0.0,0.8610103383458647,2.613896616541353
71,72,Handshake,#00ffc6,1,1.0,0.7674418604651163,0.0,0.0835413533834586,1.8178026315789475
72,73,HardGoByMajority,#00ffd0,1,0.0,0.7053566280231826,0.521589861016153,0.4821701127819548,2.0972800751879697
73,74,HardGoByMajority10,#00ffda,1,0.0,0.7160254800888944,0.3931386136438046,0.4065347744360902,1.971207706766917
74,75,HardGoByMajority20,#00ffe4,1,0.0,0.7079620466691093,0.4364684234534311,0.4172415413533833,1.9772330827067663
75,76,HardGoByMajority40,#00ffee,1,0.0,0.7041812650410418,0.4580461441425397,0.4230874060150375,1.98086560150376
76,77,HardGoByMajority5,#00fff8,1,0.0,0.7167868013991806,0.540657447099266,0.4973073308270677,2.1005422932330826
